"min_left_angle","max_left_angle","min_right_angle","max_right_angle","rep_duration","left_rom","right_rom","elbow_rom_diff","concentric_duration","eccentric_duration","left_peak_velocity","right_peak_velocity","torso_lean_mean","torso_lean_max","torso_sway","left_elbow_drift","right_elbow_drift","pose_visibility_mean","pose_visibility_min","tracking_lost_ratio","is_good"
"12.54","179.99","20.95","179.95","7.16","167.45","159.0","8.45","6.6","0.5","2006.23","1372.91","1.02","4.36","4.32","0.1198","0.3682","0.9447","0.8669","0.0","0"
"11.51","179.95","0.65","179.98","6.14","168.45","179.33","10.88","5.91","0.17","2313.26","2652.14","1.07","3.45","3.42","0.1593","0.3981","0.9386","0.8686","0.0","0"
"0.1","179.87","7.0","179.77","7.9","179.77","172.77","7.0","7.31","0.55","2495.46","1404.04","1.08","2.97","2.96","0.107","0.2575","0.8595","0.4567","0.0","1"
"0.6","179.92","0.25","179.93","10.05","179.32","179.68","0.37","9.67","0.34","1311.48","2540.11","1.98","9.09","9.08","0.5439","0.2088","0.9136","0.6853","0.0","0"
"1.46","179.98","0.56","179.95","5.98","178.52","179.4","0.88","5.48","0.46","2078.15","1856.54","0.57","2.03","2.03","0.0998","0.1678","0.9087","0.58","0.0","1"
"9.66","179.94","2.75","179.97","5.7","170.28","177.21","6.94","5.57","0.07","2172.4","2743.87","0.68","3.32","3.31","0.0816","0.1895","0.8836","0.5538","0.0","0"
"6.79","179.99","41.92","179.99","4.96","173.2","138.07","35.13","0.51","4.4","2066.05","1928.78","0.94","2.94","2.9","0.1731","0.2814","0.7425","0.3659","0.0","0"
"0.1","179.99","0.42","179.81","6.28","179.89","179.39","0.5","5.82","0.41","1892.16","898.78","1.78","9.18","9.17","0.1845","0.1238","0.9043","0.5153","0.0","0"
"1.21","180.0","0.32","179.98","8.63","178.79","179.66","0.87","8.22","0.37","2162.92","2183.55","0.95","4.41","4.38","0.5181","0.5351","0.9074","0.6593","0.0","1"
"0.42","179.69","5.15","179.08","4.51","179.27","173.93","5.34","4.38","0.08","2629.11","2156.18","0.23","1.03","1.03","0.0208","0.0103","0.9786","0.9569","0.0","0"
"0.62","179.98","0.13","179.74","33.72","179.36","179.61","0.25","33.26","0.41","2444.72","2501.71","0.83","2.79","2.79","0.6085","0.4924","0.8488","0.4854","0.0","1"
"4.22","179.82","1.29","179.86","2.97","175.6","178.58","2.97","2.68","0.24","2590.23","2634.54","0.95","1.87","1.78","0.0079","0.0053","0.976","0.9679","0.0","0"
"5.9","179.93","4.13","179.94","7.87","174.02","175.81","1.79","7.74","0.08","2097.73","2072.87","2.12","10.81","10.8","0.0902","0.1283","0.9419","0.6786","0.0","0"
"1.14","179.95","0.02","179.99","6.51","178.81","179.98","1.17","5.97","0.5","2219.76","1431.23","0.78","3.76","3.75","0.1322","0.1048","0.8943","0.5749","0.0","0"
"16.61","179.99","0.77","179.7","6.43","163.38","178.93","15.55","6.11","0.28","1266.34","1928.38","0.66","2.59","2.58","0.1257","0.0969","0.8914","0.5198","0.0","1"
"4.28","179.94","23.63","179.98","8.07","175.66","156.35","19.31","7.5","0.52","1822.92","680.24","0.22","1.59","1.58","0.0746","0.0585","0.9835","0.9649","0.0","1"
"0.4","178.1","32.62","178.06","3.37","177.7","145.44","32.26","2.95","0.35","2126.37","1509.41","0.15","0.42","0.42","0.0073","0.0038","0.9855","0.9787","0.0","0"
"0.68","180.0","8.67","180.0","9.03","179.32","171.33","7.99","8.89","0.1","3192.54","3202.31","0.84","1.53","1.49","0.0365","0.0356","0.9926","0.9714","0.0","1"
"4.97","179.95","4.87","177.89","2.63","174.98","173.02","1.96","2.24","0.37","2466.75","2060.78","1.08","1.5","0.76","0.0059","0.0153","0.9982","0.9964","0.0","1"
"1.96","179.66","9.76","177.32","2.77","177.7","167.56","10.14","2.22","0.5","2490.56","1619.97","0.73","0.92","0.45","0.0101","0.0121","0.999","0.9981","0.0","1"
"3.03","179.8","11.3","178.3","2.63","176.77","167.0","9.78","2.51","0.07","2568.64","2477.97","0.79","1.21","0.67","0.0099","0.0068","0.9992","0.9984","0.0","1"
"0.59","174.05","0.42","179.14","2.19","173.46","178.72","5.26","1.94","0.22","1353.31","3431.21","0.73","0.82","0.22","0.0063","0.0139","0.9995","0.999","0.0","1"
"3.63","178.38","7.37","178.15","2.89","174.75","170.78","3.98","2.18","0.67","2028.38","2199.62","0.91","1.05","0.4","0.0054","0.016","0.9991","0.9983","0.0","1"
"4.1","178.31","1.7","177.61","2.66","174.21","175.91","1.7","2.24","0.39","2186.84","1722.35","0.71","1.07","0.64","0.007","0.0169","0.999","0.9981","0.0","1"
"1.59","178.85","2.89","178.18","2.22","177.26","175.29","1.97","1.83","0.35","2362.7","3372.37","0.28","0.71","0.7","0.0089","0.013","0.9977","0.9956","0.0","1"
"0.16","179.46","8.92","177.61","2.45","179.3","168.69","10.61","2.27","0.15","3195.81","2356.58","0.52","0.71","0.43","0.0047","0.0093","0.9978","0.9955","0.0","1"
"1.28","179.05","4.32","177.01","2.56","177.77","172.69","5.08","1.0","1.53","1653.08","2146.87","0.52","0.85","0.72","0.0081","0.012","0.9971","0.9942","0.0","1"
"0.81","179.99","1.12","179.99","7.52","179.18","178.87","0.31","7.3","0.2","2594.69","3398.73","0.59","0.71","0.45","0.0074","0.0137","0.9971","0.9961","0.0","0"
"0.94","179.4","1.52","178.47","1.85","178.46","176.95","1.51","1.73","0.1","2936.94","3449.03","0.72","0.89","0.55","0.0063","0.0111","0.9966","0.9956","0.0","0"
"1.47","179.99","1.9","178.78","1.09","178.53","176.89","1.64","0.73","0.32","3262.07","3273.04","0.6","0.71","0.3","0.0068","0.0081","0.9936","0.9888","0.0","0"
"1.58","179.88","0.08","179.98","15.69","178.3","179.89","1.59","15.52","0.15","2874.82","3647.65","0.84","1.39","1.15","0.0075","0.0178","0.9986","0.9969","0.0","0"
"0.12","178.96","0.43","177.76","0.88","178.84","177.33","1.52","0.68","0.17","2023.94","3464.45","0.84","1.0","0.34","0.0111","0.0116","0.9991","0.9988","0.0","0"
"0.12","179.7","7.23","178.59","1.56","179.58","171.36","8.22","1.32","0.21","2951.55","3050.44","1.06","1.46","1.06","0.0067","0.0116","0.9987","0.9977","0.0","0"
"2.82","178.69","0.85","178.8","1.4","175.87","177.95","2.08","1.2","0.17","2662.25","3242.75","0.94","1.2","0.4","0.0147","0.0152","0.9989","0.9961","0.0","0"
"0.39","179.32","1.99","177.28","1.4","178.94","175.3","3.64","1.26","0.1","3572.01","3230.35","0.41","0.67","0.66","0.0081","0.018","0.9984","0.997","0.0","0"
"3.98","179.03","6.07","178.37","1.55","175.04","172.3","2.74","1.46","0.05","2582.02","3231.38","0.52","1.14","1.05","0.0145","0.0091","0.9988","0.9982","0.0","0"
"1.31","179.99","0.44","178.82","6.16","178.69","178.38","0.31","5.98","0.15","3114.4","3095.09","0.76","1.13","0.81","0.0082","0.0126","0.9988","0.9984","0.0","0"
"59.22","176.87","27.11","178.99","14.6","117.65","151.89","34.23","14.27","0.3","987.64","2098.41","1.01","1.31","0.74","0.0057","0.0078","0.9992","0.9985","0.0","0"
"3.33","178.06","6.91","178.56","2.38","174.73","171.65","3.08","1.88","0.47","1318.19","3165.29","0.42","0.86","0.63","0.0087","0.008","0.9987","0.9981","0.0","0"
"1.98","176.47","4.54","179.92","1.88","174.49","175.38","0.89","1.21","0.63","1326.43","2779.81","0.79","1.1","0.58","0.0065","0.0092","0.9994","0.9989","0.0","0"
"12.2","177.66","16.2","180.0","2.0","165.46","163.8","1.66","1.67","0.3","1844.81","2201.77","0.53","0.59","0.17","0.0049","0.0047","0.9985","0.998","0.0","0"
"9.39","178.73","22.17","179.9","1.42","169.33","157.73","11.61","1.08","0.28","1883.46","2221.79","0.69","0.9","0.61","0.0029","0.0062","0.9982","0.997","0.0","0"
"41.28","176.8","11.13","179.91","1.15","135.52","168.77","33.26","0.85","0.25","588.54","3063.96","0.57","0.76","0.38","0.0043","0.0039","0.9981","0.9973","0.0","0"
"44.05","177.19","1.33","179.97","1.4","133.14","178.64","45.5","1.07","0.3","899.08","2715.83","1.14","1.31","0.4","0.0035","0.0022","0.9991","0.9988","0.0","0"
"15.57","177.93","9.14","179.44","1.73","162.36","170.3","7.94","1.3","0.4","1546.34","2955.59","0.91","1.49","0.9","0.0053","0.0061","0.9988","0.9983","0.0","0"
"64.38","180.0","0.32","179.97","1.91","115.62","179.65","64.03","1.53","0.35","1186.8","3151.77","0.57","0.76","0.44","0.0024","0.0041","0.9982","0.9968","0.0","0"
"0.01","179.27","1.94","179.99","33.71","179.27","178.05","1.21","33.28","0.4","1648.92","2901.68","2.44","10.02","10.01","0.0554","0.0232","0.9841","0.9535","0.6847","0"
"0.3","170.13","13.69","174.94","2.31","169.83","161.25","8.59","1.68","0.6","2221.6","1662.71","9.56","10.07","0.82","0.0185","0.0091","0.999","0.9987","0.0","0"
"15.04","179.44","1.69","179.77","2.99","164.4","178.09","13.69","2.69","0.25","2878.9","3100.24","9.54","14.37","13.86","0.0433","0.0361","0.9975","0.9939","0.0","0"
"0.39","178.36","10.39","179.9","3.21","177.97","169.51","8.46","2.17","1.02","3309.05","1941.16","9.37","14.6","14.2","0.0231","0.0094","0.9977","0.9946","0.0","0"
"8.21","176.83","0.23","179.93","4.53","168.62","179.7","11.08","4.05","0.45","1197.99","3316.0","3.74","5.97","5.14","0.0276","0.0291","0.9984","0.9966","0.0","0"
"0.15","179.47","0.76","179.52","1.96","179.32","178.76","0.56","1.68","0.25","2533.03","3325.25","0.91","1.87","1.83","0.0054","0.0121","0.9941","0.981","0.0","0"
"13.34","177.76","2.94","179.27","1.74","164.42","176.32","11.9","1.34","0.37","1803.73","2975.87","1.37","3.02","3.02","0.0199","0.0329","0.9966","0.9911","0.0","0"
"5.91","176.31","1.67","178.85","2.15","170.4","177.18","6.78","1.47","0.65","1865.22","987.95","4.96","6.05","4.09","0.0131","0.0198","0.9994","0.999","0.0","0"
"0.15","179.91","4.49","177.06","2.01","179.77","172.57","7.19","1.73","0.25","2584.22","2642.24","2.8","3.73","1.68","0.0216","0.0192","0.9984","0.9973","0.0","0"
"1.98","179.32","0.51","179.56","2.85","177.34","179.05","1.71","2.18","0.65","3570.25","2863.4","5.35","9.07","8.86","0.0312","0.0305","0.9984","0.9959","0.0","0"
"5.69","179.82","0.09","175.29","1.47","174.13","175.2","1.08","0.93","0.52","2476.11","2165.07","8.02","9.04","1.68","0.0155","0.0204","0.9987","0.9981","0.0","0"
"2.72","179.2","5.74","173.86","8.39","176.48","168.13","8.36","8.17","0.2","3116.48","1652.3","0.36","2.18","2.18","0.0145","0.0104","0.9991","0.9985","0.0","0"
"5.64","179.87","0.24","175.54","4.83","174.22","175.3","1.08","3.97","0.85","3254.24","2696.04","0.42","0.84","0.83","0.0129","0.0144","0.9992","0.9985","0.0","0"
"0.21","179.83","0.1","169.85","3.19","179.62","169.75","9.87","2.76","0.4","2770.58","3422.34","1.2","2.02","1.61","0.0118","0.0088","0.9996","0.999","0.0","0"
"0.38","176.83","1.61","174.86","2.77","176.45","173.25","3.2","2.18","0.55","2242.05","2582.55","0.32","0.76","0.76","0.0086","0.0145","0.9994","0.9986","0.0","0"
"0.91","178.51","1.16","179.58","2.76","177.6","178.42","0.82","1.99","0.71","3451.2","2822.45","0.38","0.66","0.64","0.0056","0.0154","0.999","0.997","0.0","0"
"0.28","179.77","0.33","177.21","2.26","179.5","176.88","2.61","1.33","0.9","1828.95","1383.52","0.63","1.07","1.06","0.0135","0.0127","0.999","0.9981","0.0","0"
"0.32","179.44","0.94","176.11","2.63","179.13","175.16","3.96","2.11","0.5","1071.08","1755.81","1.63","2.53","2.1","0.0068","0.0187","0.999","0.9974","0.0","0"
"1.52","177.67","1.14","179.89","2.8","176.15","178.75","2.6","2.03","0.75","2496.04","3458.08","1.1","2.46","2.29","0.0059","0.018","0.9989","0.9976","0.0","0"
"0.6","176.62","1.38","175.94","2.67","176.02","174.56","1.45","1.74","0.9","1727.33","3477.93","1.27","2.56","2.39","0.0066","0.0123","0.9993","0.9987","0.0","0"
"2.94","177.27","1.44","176.21","2.15","174.33","174.77","0.44","1.66","0.45","1825.77","2407.68","0.37","0.75","0.74","0.0092","0.0161","0.9992","0.9979","0.0","0"
"3.28","173.35","0.47","178.23","2.06","170.07","177.76","7.69","1.38","0.65","1701.4","3222.08","1.03","1.97","1.72","0.0061","0.0199","0.9991","0.9978","0.0","0"
"4.33","177.99","0.59","176.38","2.13","173.66","175.8","2.13","1.4","0.7","1235.88","3275.88","1.4","2.34","1.99","0.0032","0.0121","0.9992","0.9984","0.0","0"
"10.9","179.73","7.62","179.87","33.16","168.83","172.25","3.42","32.18","0.95","1898.15","1875.97","0.79","3.03","3.02","0.0491","0.0561","0.9991","0.9979","0.0","1"
"5.59","179.52","5.06","175.02","2.06","173.92","169.96","3.96","1.68","0.35","3415.36","1675.66","0.79","1.12","0.75","0.0037","0.0217","0.9986","0.9975","0.0","1"
"6.98","179.6","7.02","176.8","2.28","172.62","169.78","2.84","1.75","0.5","2491.03","1395.57","0.59","0.92","0.64","0.005","0.0181","0.9984","0.9964","0.0","1"
"2.32","179.7","9.15","176.39","2.48","177.39","167.24","10.14","2.0","0.45","1901.94","885.62","0.71","0.89","0.45","0.0056","0.0184","0.9986","0.9962","0.0","1"
"1.56","179.97","0.07","179.01","2.4","178.41","178.93","0.52","1.3","1.07","2950.7","3524.41","0.46","0.7","0.48","0.0077","0.021","0.9984","0.9971","0.0","1"
"1.59","179.98","2.58","178.39","2.04","178.39","175.82","2.57","1.67","0.35","2301.85","1977.88","0.82","1.22","0.9","0.0062","0.0163","0.9971","0.9922","0.0","1"
"6.76","179.77","5.29","179.62","2.21","173.01","174.33","1.32","1.88","0.3","2530.82","2193.41","1.02","1.2","0.39","0.0067","0.0104","0.9979","0.9943","0.0","1"
"3.86","179.99","3.37","177.48","1.96","176.13","174.1","2.03","1.42","0.51","2565.14","2162.11","0.96","1.38","0.86","0.007","0.0124","0.9957","0.9879","0.0","1"
"2.39","180.0","1.19","179.34","1.89","177.61","178.15","0.54","1.42","0.45","2885.01","1909.81","0.88","1.15","0.79","0.0086","0.0194","0.9882","0.9624","0.0","1"
"4.74","179.98","4.95","179.56","2.02","175.24","174.61","0.63","1.78","0.2","3203.72","1816.27","0.32","0.48","0.46","0.007","0.0123","0.9974","0.9958","0.0","1"
"4.6","179.93","2.13","179.57","5.95","175.33","177.44","2.11","4.98","0.95","3262.67","3313.73","0.19","0.45","0.44","0.0088","0.0116","0.9971","0.9846","0.0","1"
"0.68","179.54","0.79","179.91","3.9","178.86","179.12","0.27","2.73","1.15","3509.83","2928.3","0.16","0.58","0.57","0.0127","0.0144","0.99","0.9555","0.0","1"
"0.43","177.26","1.39","179.99","4.81","176.83","178.61","1.78","4.43","0.35","1459.31","2379.74","0.44","0.78","0.7","0.0079","0.0158","0.9982","0.9963","0.0","1"
"0.19","176.57","0.05","179.58","2.43","176.38","179.53","3.15","1.27","1.13","2008.61","1902.55","0.59","1.0","0.87","0.0096","0.0149","0.9987","0.9972","0.0","1"
"0.1","177.25","0.05","179.96","2.49","177.14","179.9","2.76","1.25","1.22","2666.22","2869.96","0.27","0.43","0.42","0.0082","0.0097","0.9979","0.9959","0.0","1"
